Word,Time_s,F0_Hz
look,1.80069,230.134742
look,1.805862,225.595981
look,1.811034,223.285979
look,1.816207,219.458018
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,1.955862,258.427796
great,1.961034,264.447502
great,1.966207,268.767154
great,1.971379,270.502019
great,1.976552,270.381143
great,1.981724,271.244796
great,1.986897,272.616214
great,1.992069,272.299684
great,1.997241,270.667313
great,2.002414,269.225207
great,2.007586,268.353181
great,2.012759,266.616035
great,2.017931,266.015789
great,2.023103,261.744754
great,2.028276,256.489294
great,2.033448,255.402346
great,2.038621,253.703407
great,2.043793,241.453477
great,2.048966,236.94377
great,2.054138,232.506606
great,2.05931,221.003876
great,2.064483,211.244005
great,2.069655,209.047043
great,2.074828,195.765635
great,2.08,191.603814
great,2.085172,188.299505
great,2.090345,183.441415
great,2.095517,176.221084
great,2.10069,171.45173
great,2.105862,166.643932
great,2.111034,158.495788
great,2.116207,161.362405
great,2.121379,156.174806
great,2.126552,155.909877
great,2.131724,157.678776
great,2.136897,146.939131
great,2.142069,183.578114
great,2.147241,176.935003
great,2.152414,180.613606
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
